"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"218272_at",0.662487969684062,9.14362531400448,2.99879731631904,0.00350247763023518,0.00442511249274426,-2.53174714893612
"218273_s_at",0.388647981534072,6.63342253083773,2.99860036546713,0.00350453414085065,0.00442745970408068,-2.53228307617609
"218274_s_at",0.426763016848345,8.04204011928738,2.99836914237475,0.00350694993896904,0.00443026053007807,-2.53291222568313
"218275_at",0.672487575533662,8.83615112655902,2.99780108354504,0.00351289150949846,0.00443751482461191,-2.53445772462332
"218276_s_at",0.365627226669317,6.09438900382675,2.99725855986801,0.00351857468905858,0.00444444191351354,-2.53593352770982
"218277_s_at",0.618738039203731,7.56362252160618,2.99698441445414,0.00352144971915075,0.00444782134065503,-2.53667919036803
"218278_at",0.484285880869163,9.07657979078416,2.9964160422731,0.00352741730151264,0.00445510625911728,-2.53822495859332
"218279_s_at",0.45839664114671,8.90175359076298,2.99603637234868,0.00353140882810864,0.00445989474703836,-2.53925739106757
"218280_x_at",0.650336398110796,7.49030201795188,2.99584267693313,0.00353344678591469,0.00446221562655353,-2.53978406383935
"218281_at",0.424383625388478,6.24907338899308,2.99541933039244,0.00353790479559915,0.00446759223395307,-2.54093507891987
"218282_at",0.565916753416477,7.98244276674569,2.99466593740925,0.0035458511965985,0.00447737305002574,-2.54298311166702
"218283_at",0.616585106013255,7.86570591813115,2.9923706164887,0.0035701629320133,0.00450781621793134,-2.54922014604226
"218284_at",0.535387402951303,9.26916164130933,2.99160764755174,0.0035782782743439,0.00451780694584425,-2.55129248259898
"218285_s_at",0.533901898845881,9.08769203449317,2.99134368733978,0.00358108986469429,0.0045211005923503,-2.55200933706402
"218286_s_at",0.654616185176051,8.8610853074757,2.99123179395657,0.00358228232119999,0.00452234983645683,-2.55231319783585
"218287_s_at",0.545107537095879,8.94085421537422,2.9906748942751,0.0035882227080047,0.00452959248824319,-2.55382539188214
"218288_s_at",0.54329025430837,6.74226075829577,2.99062241548285,0.00358878296281729,0.00453004309525054,-2.55396787986193
